UserID,Sex,PreviousDefault,FirstName,LastName,NumberPets,PreviousAccounts,ResidenceDuration,Street,LicensePlate,BadCredit,Amount,Married,Duration,City,Purpose,DateOfBirth
218-84-8180,F,0,Debra,Schaefer,2,3,1,503 Linda Locks,395C,0,3907,0,24,Port Keith,Vacation,1964-04-07
395-49-9764,M,0,Derek,Wright,0,1,1,969 Cox Dam Suite 101,UFZ 691,0,3235,0,12,Lake Debra,NewCar,1978-06-02
892-81-4890,F,0,Shannon,Smith,0,0,2,845 Kelly Estate,48A•281,0,3108,1,30,North Judithbury,NewCar,1972-03-18
081-11-7963,F,0,Christina,Brooks,2,1,3,809 Burns Creek,30Z J39,1,4014,1,36,Lake Chad,Other,1985-02-26
347-03-9639,M,0,Ralph,Anderson,1,5,1,248 Brandt Plains Apt. 465,71-Q331,1,3823,0,18,North Judithbury,Vacation,1983-08-08
827-53-3120,F,0,Adrienne,Zimmerman,0,0,1,10518 Joshua Oval,9R E9737,0,4110,1,36,East Jill,NewCar,1971-08-17
286-60-4093,F,0,Heather,Jenkins,0,0,4,106 Mcbride Coves,38G 7262,1,3726,0,36,Ericmouth,NewCar,1982-04-14
293-55-9106,M,0,Brent,Pearson,0,2,1,32677 Michelle Circle,ZMA 647,0,3288,1,18,Lake Debra,UsedCar,1973-10-31
610-09-3854,F,0,Cheryl,Robinson,2,2,2,805 Brendan Neck,121-QFBQ,0,3501,0,30,East Jessetown,Household,1978-04-13
324-97-1189,F,0,Lauren,Williams,0,3,1,9985 Harris Stravenue,247 HIM,0,3791,1,12,North Judithbury,NewCar,1971-06-12
009-86-9087,F,0,Whitney,Jones,2,0,4,425 Natasha Land,498FOR,1,4005,0,18,East Jill,UsedCar,1983-01-22
046-01-5465,M,0,Dennis,Preston,2,1,4,4935 Grace Walk,QP4 0164,0,3390,0,36,East Jill,NewCar,1976-01-23
216-88-4089,F,0,Candice,Ramos,2,2,1,011 Amy Village Suite 982,0-E4505,0,3405,1,24,Ramirezstad,NewCar,1973-11-04
807-90-1772,F,0,Stacey,Russell,0,0,3,22602 Patton Loop,3XZ42,0,4209,1,18,East Jill,Household,1983-03-28
183-75-4350,F,0,Courtney,Velasquez,2,0,1,4330 Raymond Harbors Apt. 458,VR1 K4A,0,3155,1,18,Lisatown,UsedCar,1971-07-04
681-43-5144,F,0,Haley,Hartman,1,1,3,816 Jonathan Station Suite 088,3X561,0,3577,0,12,East Jill,NewCar,1977-11-01
805-75-9940,M,0,Jonathon,Estrada,0,1,0,4823 Ortega Light Apt. 994,RA3 J6J,0,2972,0,6,New Roberttown,UsedCar,1972-10-25
467-54-9432,M,0,Jeremy,Lewis,0,0,2,214 Davis Terrace Apt. 433,AB 3791,0,3363,0,24,North Noahstad,UsedCar,1976-11-02
610-41-7252,F,0,Kathleen,Sanchez,0,0,1,63287 Angela Vista,O78 8EZ,0,3512,0,36,East Jill,NewCar,1983-09-22
142-20-3789,F,0,Jessica,Meadows,0,0,1,77434 Sims Harbor Suite 143,581K,0,3681,0,24,Lake Debra,NewCar,1971-03-28
226-63-3596,F,0,Amy,Russell,0,1,5,0366 Melissa Track Suite 705,889 YMN,0,4207,0,24,New Roberttown,Other,1975-01-01
335-44-6212,M,0,James,Caldwell,2,0,1,272 Rebecca Ramp Apt. 162,204 6537,1,4032,0,36,Lake Debra,Business,1985-01-06
224-60-4199,F,0,Sandy,Ruiz,2,1,0,3100 James Brooks,E27-19H,0,3681,1,36,East Jessetown,Vacation,1966-01-20
816-73-0673,F,0,Lisa,Adkins,0,0,3,41904 Sanders Stravenue,C 931491,0,4342,1,12,North Judithbury,UsedCar,1972-02-29
794-62-7617,M,0,Benjamin,Holland,2,3,2,7165 Zimmerman Mews,KXQ 498,0,3384,0,24,Robinsonshire,Vacation,1971-05-08
287-77-4527,M,0,Derrick,Christian,0,1,0,7379 Rogers Park,3545 FP,0,3697,1,24,East Jessetown,Vacation,1970-08-09
353-55-9018,M,0,Bradley,Cortez,2,1,0,377 Mcguire Course Suite 363,788 VSL,0,3605,0,30,Lake Chad,Education,1969-02-15
103-25-4854,F,0,Denise,King,2,2,2,351 James Streets,894-IXS,0,3731,0,6,North Judithbury,UsedCar,1966-11-27
411-63-1214,F,0,Alexis,Ferguson,2,0,1,08427 Monique Ports Suite 777,7FBI 11,0,4148,1,36,North Judithbury,Household,1966-08-26
782-27-3458,F,0,Brittany,Shepherd,2,1,3,31869 Kimberly Light Suite 749,JST 091,0,3304,0,18,Lake Debra,UsedCar,1980-12-26
678-26-6966,M,0,David,Arnold,1,0,3,67974 Jesse Squares,349WOC,1,3690,1,12,New Roberttown,UsedCar,1964-09-01
449-11-9799,M,0,Terry,Serrano,0,3,1,24994 Martinez Spurs,887 WMI,0,2915,1,24,East Jill,NewCar,1970-07-04
600-56-8057,F,0,Lindsey,Johnson,1,0,4,990 Johnston Track,2-78742,0,2701,0,18,New Kellystad,NewCar,1968-08-13
424-07-3074,M,0,Gary,Santiago,2,3,2,6746 Shawn Island,KD 68087,0,3404,0,18,East Jill,NewCar,1968-07-11
566-53-1528,M,0,Mario,Wolf,1,0,3,8247 Martinez Roads,24Z H80,0,3732,1,24,New Jessica,Education,1966-11-25
765-18-1144,M,0,Travis,Holland,0,1,3,4846 Baird Gardens,26R•398,0,3454,0,30,New Roberttown,NewCar,1972-01-05
891-25-3913,F,0,Taylor,Romero,0,1,1,4997 Sean Orchard,8KR 675,0,3970,0,36,West Michael,UsedCar,1969-08-22
347-80-6513,F,0,Amanda,Garner,2,0,4,2702 Kane Well Suite 187,62XE174,0,3399,0,6,North Judithbury,NewCar,1971-10-21
048-42-0920,F,0,Jamie,Stewart,1,3,2,091 Crystal Heights Apt. 161,1-7240U,0,2764,0,30,North Judithbury,NewCar,1971-01-17
824-60-4713,F,0,Brianna,Schmidt,1,3,2,21969 Tyler Prairie,HO 4740,0,3613,1,30,New Jessica,Other,1966-11-12
282-02-9273,F,0,Jessica,Reed,1,1,4,647 Gonzalez Lights Suite 136,440 6LS,0,3457,0,18,North Judithbury,NewCar,1976-04-05
335-96-6808,F,0,Susan,Mcgee,0,1,5,95339 Byrd Stravenue Apt. 104,95-B214,1,4402,0,12,Lake Debra,UsedCar,1975-10-18
378-87-4296,F,0,Sherri,Diaz,0,0,2,47451 Mccarty Divide Apt. 685,604817,0,3781,0,24,East Jessetown,UsedCar,1974-09-01
505-15-1593,F,0,Ashley,Hall,1,1,0,859 Deborah Roads,461 2004,0,4073,0,12,New Roberttown,Vacation,1981-12-03
063-51-4521,F,0,Jody,Santiago,0,2,1,261 Gilbert Harbors Apt. 537,51-H585,0,3336,1,30,Lake Chad,Repair,1964-10-29
284-19-2130,M,0,Matthew,May,0,2,3,53293 Maria Plaza,3S 35290,0,3584,1,30,East Jill,Repair,1971-07-28
526-76-1787,F,1,Mary,Johnson,1,0,2,3950 Joseph Crossroad,NQD-1775,0,3582,0,24,North Judithbury,UsedCar,1970-05-21
562-92-5328,M,0,Nicholas,Kerr,0,1,0,0076 Parks Overpass Suite 115,24E C99,0,3149,0,30,North Judithbury,NewCar,1968-03-26
321-86-4177,M,0,Jesse,Jacobs,1,2,1,183 Hayes Forks,7-66156K,0,3282,1,30,East Jessetown,NewCar,1969-03-21
889-93-0843,M,0,Austin,Decker,1,0,1,1528 Brenda Points,KVD-656,0,3041,0,24,New Kellystad,NewCar,1981-01-13
786-80-9122,F,0,Ashley,Romero,2,1,4,731 Bruce Land,368 YIS,0,3120,1,18,North Judithbury,Other,1973-06-24
739-42-9300,F,0,Alyssa,Nelson,1,1,3,5022 Jones Streets Apt. 183,2NO K54,0,3478,0,30,Lake Debra,NewCar,1965-09-10
695-87-9718,F,0,Brooke,Williamson,0,1,3,7679 Perry Forge,8-15614,0,3213,1,18,Lisatown,Other,1969-06-16
513-72-5803,F,0,Amber,Foster,2,2,1,34324 Murphy Avenue,XNF-2683,1,4143,1,30,Jacquelineland,Other,1984-07-29
091-56-1735,F,0,Jessica,Stevens,1,3,1,9696 Roberts Lodge,975 KFZ,0,3504,1,6,Lake Roberto,NewCar,1977-12-09
263-26-2843,M,0,Joseph,Foster,2,1,2,535 Charles Roads Apt. 883,2LX 312,0,3522,1,12,North Judithbury,UsedCar,1966-09-14
058-46-8313,M,0,Christopher,Mejia,0,1,3,9979 Lin Road Suite 271,O49-UJZ,0,3485,0,30,Ericmouth,NewCar,1965-07-31
106-44-1382,M,0,Andrew,Wood,1,1,1,19986 Carpenter Turnpike Apt. 793,8207 TP,0,2832,0,24,North Judithbury,Other,1972-06-30
097-72-6334,F,0,Danielle,Kim,0,1,2,892 Watson Haven Suite 659,515ZUU,0,3512,0,30,North Judithbury,NewCar,1978-01-10
521-47-0299,M,0,Shane,Cook,2,3,2,4629 Kyle Lane,Z81 6KE,0,3392,0,36,Lake Roberto,NewCar,1977-03-12
852-89-2713,M,0,Glenn,Miranda,1,0,4,22141 Ebony Wells,92-96222,0,4145,1,6,New Kellystad,Repair,1975-12-16
166-26-9907,F,0,Helen,Ball,2,0,2,473 Kyle Valleys Suite 359,46-O886,1,4317,0,30,New Roberttown,NewCar,1979-09-19
358-04-6798,F,0,Margaret,Sawyer,2,3,2,814 Kathryn Groves,61-QE37,0,3180,1,30,North Noahstad,Education,1969-07-15
562-94-9976,M,0,David,Vang,1,1,2,05152 Benjamin Village Suite 277,43A CA2,0,4013,1,24,East Jill,Household,1985-07-18
630-46-3942,F,0,Cynthia,Martinez,2,0,2,9711 Carlson Brook,QSH-2460,0,3701,1,30,Cassandraton,NewCar,1972-08-21
137-06-5773,F,0,Kelly,Ward,0,0,1,7065 Burgess Knolls,195-LHX,0,3998,1,24,Herrerafurt,Other,1971-08-02
772-83-3132,F,0,Sandra,Cohen,2,0,0,221 Johnson Flats Apt. 305,740 QMR,0,3549,0,12,New Roberttown,UsedCar,1977-01-12
082-42-4844,F,0,Denise,Lloyd,0,0,0,7652 Holt Land Suite 161,2-T8451,0,3769,1,6,East Jill,UsedCar,1972-01-29
242-83-6002,F,0,Carol,Wallace,0,0,1,59640 Emily Lodge Suite 820,TV 7021,0,3588,0,30,North Judithbury,Repair,1974-03-12
794-34-7312,F,0,Lisa,Shelton,2,1,1,7192 Sanders Run Suite 310,FPQ-6814,0,3658,0,12,North Judithbury,UsedCar,1970-11-17
230-16-3293,M,0,Curtis,Taylor,0,0,1,2715 Mckinney Plaza,258 JJF,0,3846,0,30,East Jill,NewCar,1966-02-09
697-67-5645,M,0,Alexander,Spencer,1,2,1,8291 Kyle Stravenue Suite 866,517 7CE,0,3765,1,30,East Jill,Household,1970-09-11
641-39-8741,F,0,Catherine,Burch,0,0,1,018 Kevin Estates Suite 358,842CIG,0,3540,0,30,North Judithbury,Repair,1968-08-15
786-74-6826,M,0,Kevin,Carpenter,0,3,2,995 Marcia Burgs,943-BUY,0,3690,1,24,Ramirezstad,NewCar,1976-09-26
134-98-6071,M,0,Stephen,Gardner,0,0,0,3647 Haley Estate Suite 677,9K 25556,0,3775,1,24,East Jessetown,NewCar,1977-07-08
511-40-8149,M,0,David,Martinez,1,2,3,21046 Wright Way Apt. 595,MYF 787,1,4038,0,18,Port Keith,Other,1975-06-22
053-73-9205,F,0,Joyce,Allen,1,1,3,04797 Herrera Vista Apt. 624,LYM 506,0,3491,1,36,New Roberttown,Other,1969-11-02
141-92-5457,F,0,Angel,Gordon,1,0,3,912 Phillip Underpass Suite 852,T 868000,0,3830,0,36,Lake Chad,Other,1971-02-18
836-03-6036,F,0,Brittany,Barry,2,2,1,9526 Wheeler Parkways,947 RPW,0,3396,0,30,New Roberttown,UsedCar,1969-02-16
842-88-3969,M,0,Kevin,Robles,1,3,3,749 Jennifer Prairie,962-FQU,0,3538,1,18,Ramirezstad,NewCar,1966-06-28
178-59-8735,M,0,Connor,Alexander,0,1,2,63689 Salas Street Apt. 283,KVP-865,0,2980,0,36,West Michael,Vacation,1965-02-24
125-74-8900,F,0,Lisa,Lee,1,3,5,8434 Bush Spurs,PKP5844,1,4120,1,18,New Kellystad,UsedCar,1981-03-25
246-32-0832,F,0,Donna,Roberts,1,2,1,7473 Maria Groves,WIE-199,0,3695,0,24,North Judithbury,UsedCar,1974-11-06
858-23-0596,F,0,Amy,Gutierrez,0,1,1,20826 Woods Flats Suite 540,19-38026,0,4058,1,36,North Judithbury,UsedCar,1974-03-15
749-59-4216,F,0,Taylor,Hayden,2,1,0,04991 Mitchell Row Suite 287,152G,0,3562,0,6,East Jill,Other,1971-12-14
268-50-3859,F,0,Rachel,Bradley,1,2,1,96685 Richard Court,LEP 530,0,3515,1,18,Robinsonshire,NewCar,1973-05-16
630-29-3591,F,0,Elizabeth,Sharp,2,0,0,5301 Parker Lodge,4Q145,0,3719,0,6,Ericmouth,NewCar,1983-09-15
208-74-8793,F,0,Nicole,Obrien,2,0,2,878 Kathleen Springs Apt. 878,LCS1088,0,3631,1,24,New Roberttown,Other,1964-09-28
353-90-1045,F,0,Jessica,Frazier,2,0,7,87072 Bryant Centers Suite 406,AX 39106,1,3995,0,36,New Roberttown,Vacation,1982-07-29
122-23-8803,M,0,Andres,Ortiz,0,0,2,656 Kane Lane,8CV V25,0,3287,0,18,North Noahstad,Other,1979-04-05
069-13-9732,M,0,Ruben,Avila,2,2,0,8686 John Key Apt. 431,ZVN9033,0,3539,0,36,Robinsonshire,Education,1982-06-30
063-72-9694,F,0,Dana,Williams,2,3,1,83028 Young Street Suite 995,8J 3644E,0,3771,1,18,West Michael,UsedCar,1974-04-18
427-72-8684,F,0,Kristi,Williams,0,1,2,685 Russell Hills Suite 287,2H 7086J,0,3470,1,18,New Kellystad,Household,1979-09-16
311-02-3471,M,0,Dalton,Lucas,2,0,1,1830 Bennett Rapids Apt. 139,3VR 735,0,3582,0,18,Port Jesseville,NewCar,1979-06-01
369-66-8148,M,0,Paul,Webster,2,3,2,936 Andrea Trail,544MOR,0,3431,0,36,North Judithbury,NewCar,1981-05-31
338-30-6224,F,0,Pamela,Flores,0,1,0,5609 Joyce Brook,RS9 6423,0,3232,1,30,East Jill,Household,1975-08-20
863-81-3792,M,0,Juan,Harding,0,0,2,7772 Jackson Stravenue Suite 280,BCV 0062,1,4594,0,36,Lake Debra,Other,1974-07-26
515-90-7055,F,0,Colleen,Bryant,1,0,0,977 Adam Plaza,0-84840A,0,3598,1,18,East Jessetown,UsedCar,1967-02-20
653-02-2808,M,0,Joseph,Allen,1,1,1,4615 Stevens Gardens Apt. 410,666870,0,3671,0,24,North Judithbury,NewCar,1971-08-08
871-41-0257,F,0,Kylie,Hodge,1,0,2,033 Nelson Club,8I902,0,4207,0,12,Lisatown,Education,1969-11-11
448-30-1246,F,0,Tanya,Evans,2,2,2,685 Campos Dam,XCQ 501,0,4046,0,30,Lake Debra,Household,1983-02-23
818-32-1205,F,0,Jennifer,Ayala,2,0,1,477 Michael Lane,9-F6194,0,4015,0,30,Ericmouth,Other,1970-08-06
418-14-0431,M,0,Michael,Walters,2,2,1,5110 Wallace Trace Suite 121,LNO 888,0,2980,1,30,New Jessica,Business,1974-08-12
283-54-4912,M,0,Kyle,Mueller,0,1,0,46618 Ashley Extension Suite 224,126 IPE,0,3041,0,36,West Michael,Repair,1975-06-15
618-89-3291,M,0,David,Wright,2,1,1,937 Derek Avenue Suite 596,6OK9245,0,3448,1,36,North Judithbury,UsedCar,1965-06-11
726-27-7184,F,0,Tracy,Carter,1,0,6,356 Velasquez Lock Suite 193,8RF V07,0,3212,0,36,New Roberttown,Other,1967-02-13
557-05-5891,M,0,Robert,Flynn,0,1,3,724 Johnny Drives Suite 617,96P 886,0,3102,1,24,Robinsonshire,NewCar,1975-11-30
011-13-4240,F,0,Margaret,Miller,0,1,3,529 Anna Rue,656U1,0,4168,0,24,North Judithbury,Vacation,1976-11-23
357-40-5621,F,0,Kristin,Watts,0,1,1,5679 Michael Burg,112-DJN,0,2542,1,18,Port Keith,NewCar,1979-05-23
566-21-5423,F,0,Karen,Alvarez,1,1,1,751 Williams Station Apt. 051,238Z2,0,2711,0,18,Cassandraton,Other,1976-08-11
592-14-8797,F,0,Rebecca,Soto,1,1,0,660 Shannon Meadow,341-AWG,0,2901,0,18,North Judithbury,Vacation,1983-10-27
689-18-5132,F,0,Judith,Baker,1,0,2,596 Matthews Keys Suite 792,499W1,0,3577,0,18,East Jill,NewCar,1977-09-03
887-46-0158,F,0,Catherine,Steele,0,0,2,9296 Lopez Roads Apt. 827,790EFK,0,3197,1,18,East Jessetown,NewCar,1968-06-15
